id,text,author,tags
1,"Сила приходит тогда, когда ты думаешь, что не можешь, но всё равно идёшь.","Аноним","дисциплина,воля"
2,"Мы — это то, что делаем постоянно. Значит, совершенство — не действие, а привычка.","Аристотель","привычки,рост"
3,"Пока не сделано — кажется невозможным.","Нельсон Мандела","смелость,цели"
4,"Ваше время ограничено — не тратьте его, живя чужой жизнью.","Стив Джобс","время,осознанность"
5,"Тот, кто хочет — ищет возможности. Кто не хочет — ищет причины.","Аноним","намерение,ответственность"
6,"Начни там, где ты есть. Используй то, что у тебя есть. Делай, что можешь.","Артур Эш","старт,действие"
7,"Дисциплина — это мост между целями и достижениями.","Джим Рон","дисциплина,успех"
8,"Маленькие шаги каждый день приводят к большим результатам.","Аноним","микропривычки,рост"
9,"Если ты устаёшь — учись отдыхать, а не сдаваться.","Бэнкси","баланс,устойчивость"
10,"Лучший способ предсказать будущее — создать его.","Питер Друкер","карьера,цели"
11,"Сконцентрируйся на прогрессе, а не на совершенстве.","Аноним","фокус,перфекционизм"
12,"Сомнение убило больше мечтаний, чем неудача.","Сьюзи Кассем","смелость,страх"
13,"Каждый день — новый шанс стать лучше.","Аноним","рост,ежедневно"
14,"Не сравнивай начало своего пути с серединой чужого.","Аноним","осознанность,сравнение"
15,"Ты становишься тем, что повторяешь.","Аноним","привычки,идентичность"
16,"Делай сегодня то, за что завтра скажешь себе спасибо.","Аноним","ответственность,будущее"
17,"Секрет продвижения — начать.","Марк Твен","старт,прокрастинация"
18,"Успех — это сумма маленьких усилий, повторяемых изо дня в день.","Роберт Колльер","микропривычки,успех"
19,"Страх уходит, когда ты действуешь.","Аноним","смелость,действие"
20,"Фокус — это сказать «нет» лишнему.","Стив Джобс","фокус,приоритеты"
21,"Не надо быть великим, чтобы начать, но надо начать, чтобы стать великим.","Зиг Зиглар","старт,мотивация"
22,"Там, где фокус — там и энергия.","Тони Роббинс","фокус,энергия"
23,"Перемены начинаются тогда, когда решение сильнее оправданий.","Аноним","решение,ответственность"
24,"Каждый прогресс — поначалу неловкий.","Аноним","рост,начало"
25,"Делай трудно, пока не станет легко. Делай легко, пока не станет мастерством.","Аноним","навыки,дисциплина"
26,"Не жди идеального момента — сделай момент идеальным.","Аноним","действие,перфекционизм"
27,"Где внимание — там результаты.","Аноним","фокус,результаты"
28,"Шаги маленькие, но ежедневные — побеждают рывки.","Аноним","микропривычки,устойчивость"
29,"Сомнение громче всего перед стартом.","Аноним","страх,старт"
30,"Терпение — это ускоритель для дальних дистанций.","Аноним","терпение,долгосрок"
31,"Привычки создают тебя, а не наоборот.","Аноним","привычки,идентичность"
32,"Каждый «да» чему-то — это «нет» чему-то другому. Выбирай осознанно.","Аноним","приоритеты,фокус"
33,"Дисциплина — это любовь к своему будущему в действии.","Аноним","дисциплина,будущее"
34,"Ошибки — это не падения, а опоры для следующего шага.","Аноним","ошибки,рост"
35,"Ты не обязан быть лучше всех — будь лучше себя вчерашнего.","Аноним","сравнение,рост"
36,"Вдохновение приходит к тем, кто уже в пути.","Аноним","действие,мотивация"
37,"Не начинай с «как». Начни с «зачем».","Саймон Синек","осознанность,цели"
38,"Сделай первый километр — дальше легче.","Аноним","старт,инерция"
39,"Если не можешь лететь — беги. Не можешь бежать — иди. Но продолжай двигаться.","Мартин Лютер Кинг","устойчивость,смелость"
40,"План без действия — это просто мечта.","Аноним","планирование,действие"
41,"Не перегоняй всех. Перегоняй себя вчерапнего.","Аноним","рост,осознанность"
42,"Качество — это привычка показываться каждый день.","Аноним","качество,привычки"
43,"Прогресс любит тишину и повторение.","Аноним","фокус,дисциплина"
44,"Твои стандарты решают твой потолок.","Аноним","стандарты,успех"
45,"Горизонт приближается только к идущим.","Аноним","цели,действие"
46,"Идеального дня не будет. Будет сделанное сегодня.","Аноним","действие,перфекционизм"
47,"Сначала мы формируем привычки, потом привычки формируют нас.","Джон Драйден","привычки,идентичность"
48,"Не ставь большую цель — поставь ближайший шаг.","Аноним","микрошаги,цели"
49,"Делай меньше, но лучше.","Дитер Рамс","фокус,качество"
50,"Скорость важна, но стабильность важнее.","Аноним","устойчивость,ритм"
51,"Трудные разговоры — короткий путь к росту.","Аноним","смелость,рост"
52,"Будущее начинается с 15 минут сегодня.","Аноним","время,действие"
53,"Сделай это настолько хорошо, чтобы игнорировать было стыдно.","Аноним","мастерство,качество"
54,"Уберите лишнее — станет видно важное.","Аноним","фокус,приоритеты"
55,"Не усложняй: один фокус — один результат.","Аноним","фокус,простота"
56,"Порядок в календаре — порядок в голове.","Аноним","планирование,фокус"
57,"Лёгкие решения редко приводят к сильной жизни.","Аноним","смелость,характер"
58,"Ритм побеждает мотивацию.","Аноним","дисциплина,ритм"
59,"Сомнение шепчет, действие отвечает.","Аноним","смелость,действие"
60,"Сначала идёт выбор, потом последствия. Выбирай шире.","Аноним","ответственность,осознанность"
61,"Будни строят судьбу.","Аноним","привычки,ежедневно"
62,"Каждый нет — защита твоего да.","Аноним","приоритеты,фокус"
63,"Работай тихо. Пусть шумит результат.","Аноним","скромность,результаты"
64,"Настоящая свобода — у дисциплины, не у хаоса.","Аноним","дисциплина,свобода"
65,"Сложные дела становятся лёгкими, когда они становятся привычными.","Аноним","навыки,привычки"
66,"Победи утро — победишь день.","Аноним","ритуалы,утро"
67,"Не нужно быстрее. Нужно точнее.","Аноним","качество,фокус"
68,"Ты не опоздал. Ты стартуешь сейчас.","Аноним","старт,мотивация"
69,"Ум — чтобы думать. Календарь — чтобы решать.","Аноним","планирование,осознанность"
70,"Делай, как будто уже умеешь — и научишься.","Аноним","навыки,смелость"
71,"Развивайся быстрее, чем растут запросы к тебе.","Аноним","рост,карьера"
72,"Слабая мотивация лечится маленькой победой.","Аноним","мотивация,действие"
73,"Не ищи лёгкий путь. Ищи верный.","Аноним","осознанность,решения"
74,"Финиш — это серия начатых стартов.","Аноним","устойчивость,цели"
75,"Твоё завтра начинается с того, что ты выбираешь сегодня.","Аноним","ответственность,будущее"
76,"Если страшно — сократи шаг.","Аноним","смелость,микрошаги"
77,"Любая система лучше хаоса.","Аноним","системы,дисциплина"
78,"Главная привычка — возвращаться на путь.","Аноним","устойчивость,привычки"
79,"Не трать мотивацию на сомнения — трать её на первый шаг.","Аноним","действие,смелость"
80,"Уменьши входной порог — вырастет выход.","Аноним","микрошаги,привычки"
81,"Лишнее убивает важное. Чисти часто.","Аноним","фокус,минимализм"
82,"Работай от таймера, а не от настроения.","Аноним","дисциплина,таймбоксинг"
83,"Любая цель — это проект. У проекта есть план.","Аноним","планирование,цели"
84,"Доверяй процессу, который ты контролируешь.","Аноним","процессы,контроль"
85,"Нет плохой погоды для маленького шага.","Аноним","устойчивость,микрошаги"
86,"Переписывай себя версия за версией.","Аноним","рост,идентичность"
87,"Лучшая мотивация — видеть, что уже получается.","Аноним","прогресс,мотивация"
88,"Пусть будет некрасиво, но сделано.","Аноним","перфекционизм,действие"
89,"Скажи «нет» лишнему — скажешь «да» важному.","Аноним","приоритеты,фокус"
90,"Сначала график, потом вдохновение.","Аноним","дисциплина,ритм"
91,"Выносливость — это когда «ещё один раз» повторяется годами.","Аноним","устойчивость,долгосрок"
92,"Сложное разбивается на простые кирпичи.","Аноним","простота,планирование"
93,"Больше ясности — меньше сопротивления.","Аноним","осознанность,фокус"
94,"Старт — это решение. Дальше — ремесло.","Аноним","старт,мастерство"
95,"Никто не придёт и не сделает за тебя.","Аноним","ответственность,действие"
96,"Не путай занятость с результативностью.","Аноним","фокус,приоритеты"
97,"Будь профессионален даже в мелочах.","Аноним","качество,стандарты"
98,"Если трудно — это признак роста.","Аноним","рост,смелость"
99,"Ставь сроки, иначе сроки поставят тебя.","Аноним","планирование,дисциплина"
100,"Важнее регулярность, чем длительность.","Аноним","ритм,привычки"
101,"Сначала — сделать. Потом — улучшить.","Аноним","итерации,действие"
102,"Не откладывай маленькое — из него растёт большое.","Аноним","микрошаги,рост"
103,"Ты — автор своей нагрузки.","Аноним","ответственность,границы"
104,"Ресурсы следуют за фокусом.","Аноним","фокус,энергия"
105,"Навык — это память побед.","Аноним","навыки,рост"
106,"Личный прогресс — это честность с собой в календаре.","Аноним","осознанность,планирование"
107,"Не стремись быть занят — стремись быть полезен.","Аноним","эффективность,фокус"
108,"Сложности — это приглашение стать сильнее.","Аноним","смелость,рост"
109,"Если задача пугает — разбей её в три раза мельче.","Аноним","микрошаги,смелость"
110,"Каждый день — возможность заработать доверие к себе.","Аноним","дисциплина,идентичность"
111,"Привычки — это автопилот твоего будущего.","Аноним","привычки,будущее"
112,"Выбери победу на сегодня и защити её.","Аноним","фокус,ответственность"
113,"Сделай план настолько простым, чтобы его было стыдно не выполнить.","Аноним","планирование,простота"
114,"Будь там, где сложно, потому что там пусто.","Аноним","смелость,конкуренция"
115,"Люби процесс больше, чем результат.","Аноним","процессы,мотивация"
116,"Делай тихо, пока не станет громко.","Аноним","скромность,результаты"
117,"Не прячься за подготовкой — начни маленько.","Аноним","прокрастинация,старт"
118,"Открывай день победой над самым важным.","Аноним","приоритеты,утро"
119,"Легко — это после тысячи повторений.","Аноним","мастерство,дисциплина"
120,"Твоя система сильнее твоего настроения.","Аноним","системы,устойчивость"
